,Unnamed: 0,prompt,completion
59,59,Day of the Daleks,"UNIT is called in when an important diplomat is attacked in his own home – by a man who then vanishes into thin air. The Doctor and Jo spend a night in the ‘haunted’ house and meet the attackers – who have time-jumped back from the 22nd century in the hope of changing history.

Travelling forward in time, the Doctor and Jo find themselves trapped in a future world where humans are slaves and the Daleks have already invaded. Using their ape-like servants to Ogrons to maintain order, the Daleks are now the masters of Earth. As the Doctor desperately works to discover what has happened to put history off-track, the Daleks plan a time-jump attack on the 20th century."
159,159,Rose,"When Rose Tyler meets a mysterious stranger called the Doctor, her life will never be the same again. Soon she realises that her mum, her boyfriend, and the whole of Earth are in danger. The only hope for salvation lies inside a strange blue box."
55,55,The Mind of Evil,"The Doctor is caught up in events at Stangmoor Prison, where Professor Keller’s new machine is said to be able to remove all evil impulses from the minds of the prisoners."
17,17,Galaxy 4,"When the Tardis lands on an arid planet, it seems as though the whole place is desolate and lifeless. But then the Doctor, Steven and Vicki discover two crashed spaceships: one contains the Drahvins, a race of stunning beauty, the other contains the hideous Rills. However, as the team soon find out, appearances can be deceptive. It emerges that the beauty of the Drahvins hides a colony of mindless clones who are controlled by the cruel, powerful matriarch Maaga, whereas the ugly Rills are friendly and intelligent explorers. 

The Rills tell the Doctor that the dried-up planet is about to die. Back in the control room of the Tardis, he discovers they are right, but things are worse than they thought. There is only one day of life left – one day to escape.  With the Drahvins’ ship damaged beyond repair, can the Rills get off the planet before the evil Maaga hijacks their craft in her own effort to escape?"
201,201,The Next Doctor,"It’s Christmas Eve in 1851 and Cybermen stalk the snow of Victorian London. When the Doctor arrives and starts to investigate a spate of mysterious deaths, he’s surprised to meet another Doctor, and soon the two must combine forces to defeat the ruthless Miss Hartigan. But are two Doctors enough to stop the rise of the CyberKing?"
8,8,Planet of Giants,"The TARDIS doors open while the ship is still in flight by accident. Although they have arrived back on Earth in the 1960s, a time they have been trying to return to since they all met, the travellers soon realise that something is very wrong. The Doctor, Ian, Barbara and Susan discover that they have all be reduced in size and the world they are now exploring has dangers at every turn."
263,263,Face The Raven,"The Doctor and Clara, with their old friend Rigsy, find themselves in a magical alien world, hidden on a street in the heart of London.

Sheltered within are some of the most fearsome creatures of the universe… and Ashildr! With a death sentence hanging over their heads, not all of the intruders will get out alive."
296,296,Can You Hear Me?,"From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and infecting people’s nightmares."
227,227,The Doctor The Widow and The Wardrobe,"It’s Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home, in this year’s Doctor Who Christmas Special, starring Matt Smith as the Doctor. He promises to repay her kindness – all she has to do is make a wish.

Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry world. Here, Madge will learn how to be braver than she ever thought possible. And that wishes can come true…"
232,232,The Angels Take Manhattan,"The Doctor’s heart-breaking farewell to Amy and Rory – a race against time through the streets of Manhattan, as New York’s statues come to life around them…

With Rory’s life in danger, the Doctor and Amy must locate him before it’s too late! Luckily, an old friend helps them and guides the way."
190,190,Voyage of the Damned,"When disaster hits the Titanic, the Doctor uncovers a threat to the whole human race. Battling alongside aliens, saboteurs, robot Angels and a new friend called Astrid, can he stop the Christmas inferno?"
209,209,The Vampires of Venice,"Dessicated corpses, terror in the canal and a visit to the sinister House of Calvierri – the Doctor takes Amy and Rory for a romantic mini-break, as the Tardis touches down once again. But 16th-century Venice is not as it should be. The city has been sealed to protect it from the Plague, although Rosanna Calvierri may have other plans…"
106,106,Nightmare of Eden,"Two spacecraft fuse in a hyperspace collision, and with the dimensional instabilities threatening everyone aboard, it’s fortunate the Doctor, Romana and K-9 arrive to help. But when a crewmember is found clawed by a ferocious creature, it seems there’s something even more frightening stalking the corridors. But what can this have to do with a zoologist, Professor Tryst, his CET projection machine, and a planet called Eden?"
5,5,The Aztecs,"The TARDIS takes the Doctor and his companions back in time to fifteenth century Mexico, the centre of the Aztec civilisation. But when Barbara is mistaken for the reincarnation of the High Priest Yetaxa, the time travellers find themselves caught up in a vicious political power struggle which could cost them their lives…"
89,89,The Robots of Death,"The TARDIS, carrying the Doctor and his new companion Leela, arrives aboard a huge sandminer on a deserted world. The small human crew rely almost entirely on robots to carry out their every task and whim while they mine the planet’s rich minerals."
136,136,Attack of the Cybermen,"The TARDIS is lured to Earth, London, 1985 by an alien distress signal. Investigating, the Doctor and Peri stumble upon an attempted bank robbery staged through the London sewers by a familiar foe – ex-Dalek agent, Lytton. But who is he working for this time?"
198,198,Midnight,"The Doctor is trapped, alone, powerless and terrified, on the planet Midnight. Soon, the knocking on the wall begins. Only a woman called Sky seems to know the truth – but as paranoia turns into a witch-hunt, Sky turns the Doctors greatest strengths against him, and a sacrifice must be made…"
34,34,The Faceless Ones,"The TARDIS makes a hazardous return to contemporary Earth – materialising at Gatwick Airport in the path of an oncoming aeroplane! The travellers split up in order to evade airport security, but in doing so they become embroiled in a plot to steal the personalities of young human beings. 

The Chameleons: faceless aliens who have lost their very identities following a disaster on their home world. Now they have infiltrated the airport, setting up the bogus Chameleon Tours in order to kidnap passengers and take over their very identities. As the Doctor and his companions become mixed up in the alien machinations, it soon becomes difficult for them to distinguish friends from enemies…"
126,126,Enlightenment,"The White Guardian warns of impending danger and directs the TARDIS to what appears to be an Edwardian sailing yacht, the SS Shadow, but is actually one of a number of spaceships taking part in a race through the solar system, the prize being Enlightenment. The yacht’s Captain Striker and his fellow officers are Eternals who feed off the thoughts and emotions of their kidnapped human crew – Ephemerals – in order to fill their own empty existences."
252,252,Mummy on the Orient Express,"The Doctor and Clara are on the most beautiful train in history, speeding among the stars of the future – but they are unaware that a deadly creature is stalking the passengers.

Once you see the horrifying Mummy you only have 66 seconds to live. No exceptions, no reprieve. As the Doctor races against the clock Clara sees him at his deadliest and most ruthless. Will he work out how to defeat the Mummy? Start the clock!"
21,21,The Massacre of St Bartholemew’s Eve,"The TARDIS lands in Paris in 1572 at the time of the massacre of the French Protestants at the hands of the Catholic Queen Mother, Catherine de Medici. Worryingly for the TARDIS crew, it appears that the hated Catholic dignitary the Abbot of Amboise is a dead ringer for the Doctor himself…."
230,230,A Town Called Mercy,"The Doctor gets a Stetson (and a gun!), and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg, who goes by the name of the Gunslinger.

But who is he and what does he want? The answer seems to lie with the mysterious Kahler-Jex, an alien doctor (yes another one!) whose initial appearance is hiding a dark secret."
7,7,The Reign of Terror,"The TARDIS brings the Doctor and his companions to Robespierre’s Paris, where they discover the French Revolution to be in full swing. Separated from each other, the group find themselves caught up in history as they struggle to stay alive and find their individual way back to the TARDIS."
45,45,The Invasion,"The Doctor and his team go to International Electromatics in search of a missing scientist. The Brigadier’s UNIT force aids the Doctor in discovering what lies under the surface of International Electromatics and what exactly it’s nefarious leader, Tobias Vaughn, is up to."
221,221,Let’s Kill Hitler,"The Doctor’s frantic search for the infant Melody Pond takes him to 1930s Berlin, where he comes face to face with the most notorious war criminal in the universe. With conflict brewing in the background, the Time Lord prepares to teach his enemies that time travel comes with its fair share of responsibility."
272,272,Extremis,"‘The Veritas. The truth. Truth so true you can’t live with it. Is that looking into hell… or seeing the light?’ Everyone who has ever read the Veritas has been found dead. In a forbidden library at the heart of the Vatican, the pope urges the Doctor to read the ancient text – but can he handle the truth?"
116,116,Four to Doomsday,"The Fifth Doctor discovers that his attempt to return Tegan to Heathrow Airport has brought the Tardis to a spacecraft that appears abandoned at first, but actually carries a force of frog-like aliens that may challenge the future of humankind on Earth."
188,188,Blink,"In an old, abandoned house, the Weeping Angels wait, However, when people start disappearing, a young woman called Sally finds cryptic messages bleeding through from 1969 – messages from a mysterious stranger called the Doctor. But can she decipher them before the Angels claim their prize?"
64,64,The Three Doctors,"A mysterious black hole is draining away power from the Universe. Even the Time Lords are threatened. The Doctor is also in trouble. Creatures from the black hole besiege UNIT Headquarters. The only person who can help the Doctor is… himself.
		

The Time Lords bring together the first three incarnations of the Doctor to discover the truth about the black hole and stop the energy drain. The Doctors and their companions travel through the black hole itself, into a universe of anti-matter. Here they meet one of the very first Time Lords – Omega, who gave his race the power to travel through time. Trapped for aeons in the black hole, he now plans to escape – whatever the cost."
181,181,Smith and Jones,"For Martha Jones, a medical student in Central London, an ordinary day turns into a nightmare when her entire hospital is transported to the Moon. There, she has to battle the Judoon and outwit a blood-sucking Plasmavore – but can she trust a mysterious stranger called the Doctor?"
176,176,The Impossible Planet/The Satan Pit,"Rose finds herself further away from home than ever before, on a desolate world in the orbit of a Black Hole, in the first episode of this two-part story. Trapped with an Earth expedition and the mysterious Ood, the time-travellers face an even greater danger as something ancient beneath the planet’s surface begins to awake."
26,26,The War Machines,"Its 1966, and Londons brand new Post Office Tower looms over the Doctor and Dodo as they step from the TARDIS. When the Doctor meets Professor Brett, creator of a new, superintelligent computer called WOTAN, he is intrigued to hear of a plan to link all the major computers around the world.
But there is more to WOTAN than meets the eye: it secretly believes humans to be inferior to machines, and already has a number of Post Office Tower staff under hypnotic power. WOTAN is planning the widespread construction of War Machines, large armoured computers bent on taking over the world!"
74,74,Robot,"With the newly-regenerated Doctor (Tom Baker) behaving erratically, Brigadier Lethbridge-Stewart and UNIT have to contend with the theft of the plans for the new disintegrator gun by what seems to be a mechanical monster. However, the theft is only the beginning of a plot to hold the world to nuclear ransom."
101,101,The Power of Kroll,Coming soon
154,154,Battlefield,"Doctor and Ace receive a mysterious distress signal and land in the Earth village of Carbury, where a nuclear convoy has halted. The Doctor’s concern is heightened when knights from another dimension begin to land in the area. Nearby is Lake Voortigen, the mythical resting-place of Excalibur, King Arthur’s mystical sword… But the lake holds a more sinister secret. A spaceship from the same alien dimension lurks under the lake – but does it really contain Arthur’s corpse? And what is it that the Witch Queen, Morgaine, is really after?"
108,108,The Leisure Hive,"The Doctor and Romana visit the Leisure Hive on the planet Argolis, the surface of which is uninhabitable following a twenty minute nuclear war between the Argolins and their enemies, the Foamsi. The Argolins themselves are now sterile. Pangol, the youngest, was created by the Tachyon Recreation Generator, a machine that runs games in the Hive."
297,297,The Haunting of Villa Diodati,"Lake Geneva, 1816. Lord Byron and the Shelleys prepare for a night telling ghost stories, but their villa proves to have ghostly presences all its own."
288,288,The Battle of Ranskoor Av Kolos,"On the planet of Ranskoor Av Kolos, a battlefield, a conflict-scarred survivor, and a deadly reckoning await the Doctor, Ryan, Yaz and Graham."
240,240,Nightmare in Silver,Hedgewick’s World of Wonders: the perfect theme park day out. And ground zero for a deadly silver resurrection.
237,237,Hide,"Something terrifying is hiding in Caliburn House, and the Doctor finds himself part of the ghost hunt."
29,29,The Power of the Daleks,"Landing on the planet Vulcan in 2020AD the Doctor, Polly and Ben are horrified to find two inanimate Daleks. They are even more alarmed when they discover that the colonists plan to reactivate the Daleks and use them as their slaves."
92,92,The Invisible Enemy,"When The Doctor answers a distress call from a shuttle crew who have been infected with an intelligent virus, he too becomes contaminated. The only solution is to create clones of The Doctor and his companion Leela (Louise Jameson) to enter his body and fight the virus."
20,20,The Daleks’ Master Plan,"In their quest to gain control of the Solar System, the Daleks have taken posession of the Time Destructor, a weapon which threatens the safety of all who stand in their way. As they head up an alliance of alien races bent on destroying the human race, in their midst is none other than the treacherous Guardian of the Solar System, Mavic Chen. 

A dangerous chase ensues across volcanos, jungles, deserts and futuristic cities, as the Doctor and his companions struggle to prevent the Daleks’ plans coming to fruition. The stakes are high, and for the first time in the programme’s history the lives of two TARDIS travellers are lost…"
46,46,The Krotons,"When the TARDIS arrives on the planet of the Gonds, the Doctor, Jamie and Zoe discover a world ruled and enslaved by the Krotons. The brightest Gonds are always chosen to serve as companions of the Krotons and are never seen again. The Doctor and his companions decide to put a stop to their rule – but in doing so, inadvertently unleash the true power and terror of the Krotons instead."
199,199,Turn Left,"Donna’s entire world collapses, but there’s no sign of the Doctor. Instead, she finds help from a mysterious blonde woman – a traveller from a parallel universe. But, as Donna and Rose Tyler combine forces, are they too late to save the whole of creation from the approaching darkness?"
236,236,Cold War,"On a Russian submarine in 1983, a frozen alien warrior is waking up, just as the TARDIS materialises."
184,184,Daleks in Manhattan/Evolution of the Daleks,"It’s Thirties New York and, in the midst of the Depression, people are disappearing off the streets, as Russell T Davies’s Doctor Who continues. Savage Pig Men hide in the sewers and, at the very top of the Empire State Building, the Doctor’s oldest enemies are at work, preparing their most audacious plan yet."
27,27,The Smugglers,"The TARDIS lands on the seveneenth century Cornish coast, and its crew stumble upon a plot by the local Squire to receive and offload contraband goods. The Doctor meets the churchwarden, whose last words to him concern the whereabouts of hidden treasure. When pirate captain Samuel Pike learns of this, he kidnaps the Doctor and demands to be given the cryptic clue…"
150,150,Remembrance of the Daleks,"London, 1963, and the Doctor returns to Coal Hill School with his new companion Ace, where he has unfinished business. His oldest foes, the Daleks, are on the trail of Time Lord technology – an artefact the Doctor himself left behind on Earth. Enlisting the assistance of the local military, the Doctor must protect the Gallifreyan secret of time travel as two opposing Dalek factions meet in an explosive confrontation, with the fate of the entire Universe at stake!"
262,262,Sleep No More,This terrifying story is assembled from footage discovered in the wreckage of Le Verrier Space Station.
37,37,The Abominable Snowmen,"The Doctor has been to Det-Sen Monastery before, and expects the welcome of a lifetime. But the monastery is a very different place from when the Doctor last came. Fearing an attack at any moment by the legendary Yeti, the monks are prepared to defend themselves, and see the Doctor as a threat.

The Doctor and his friends join forces with Travers, an English explorer out to prove the existence of the elusive abominable snowmen. But they soon discover that these Yeti are not the timid animals that Travers seeks. They are the unstoppable servants of an alien Intelligence."
256,256,Last Christmas,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!"
168,168,Bad Wolf/The Parting of the Ways,"The Doctor, Rose and Captain Jack, have to fight for their lives on board the Game Station, but a far more dangerous threat is lurking, just out of sight. The Doctor realises that the entire human race has been blinded to the threat on it’s doorstep, and Armageddon is fast approaching."
103,103,Destiny of the Daleks,"The Doctor and the newly-regenerated Romana land on a strangely familiar planet and investigate the drilling that is going on there. The Daleks are searching for their creator, Davros, in the hope that he can assist them in their war with the Movellans. The Doctor has to reach the evil Kaled scientist before the Daleks, but just who can he trust?"
124,124,Mawdryn Undead,"The Black Guardian recruits a young man named Turlough to assassinate the Doctor. Although outwardly an ordinary pupil at a boys’ private boarding school, Turlough is in fact an alien who believes that the Guardian will return him home if he succeeds."
166,166,The Empty Child/The Doctor Dances,"It is 1941 and the Blitz is raging. A mysterious cylinder is being guarded by the Army, while homeless children, living on the bombsites, are being terrorised by an unearthly child. And when Rose meets the dashing Captain Jack Harkness, it seems she may have found a hero better than the Doctor himself."
287,287,It Takes You Away,"On the edge of a Norwegian fjord in the present day, the Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage – and beyond?"
210,210,Amy’s Choice,"It’s been five years since Amy Pond last travelled with the Doctor, and when he lands in her garden again, on the eve of the birth of her first child, she finds herself facing a heartbreaking choice – one that will change her life for ever."
122,122,Arc of Infinity,An antimatter creature has crossed into normal space via a phenomenon known as the Arc of Infinity but needs to bond physically with a Time Lord in order to remain stable. A traitor on Gallifrey has chosen the Doctor as the victim.
134,134,The Caves of Androzani,"Captured for arms-running on the mining planet of Androzani Minor, the Doctor and Perry are under sentence of death. Then a mysterious masked intruder comes to their aid. But is Sharaz Jek, master android creator, really their saviour? The rulers of the planet are certainly desperate for his head. But then, he does control Androzani’s supply of spectrox and it’s a substance men are prepared to die for. Originally transmitted 8-16 March 1984, this four part adventure marks the end of the Peter Davison era for Doctor Who and the timelord’s sixth regeneration."
246,246,Into The Dalek,"A Dalek fleet surrounds a lone rebel ship, and only the Doctor can help them now… with the Doctor facing his greatest enemy, he needs Clara by his side.

Confronted with a decision that could change the Daleks forever he is forced to examine his conscience. Will he find the answer to the question, am I a good man?"
76,76,The Sontaran Experiment,"Arriving on a desolate and windswept Earth the Doctor starts realigning the transmat refractors while Sarah and Harry go off to explore. Harry slips and falls into a pit and Sarah runs back to the Doctor to get help. The Doctor, however, has been captured by a trio of shipwrecked Galsec space travellers who were lured to Earth by a phoney distress call. Sarah, unable to find the Doctor, makes friends with a fourth space traveller, Roth, who tells her of the alien in the rocks who is experimenting on them…"
216,216,The Impossible Astronaut/Day of the Moon,"Four envelopes, numbered 2, 3 and 4, each containing a date, time and map reference, unsigned, but TARDIS blue. Who sent them? And who received the missing number one? This strange summons reunites the Doctor, Amy, Rory and River Song in the middle of the Utah desert and unveils a terrible secret the Doctor’s friends must never reveal to him. Placing his life entirely in their hands, the Doctor agrees to search for the recipient of the fourth envelope – just who is Canton Everett Delaware the Third? And what is the relevance of their only other clue: ‘Space 1969′? Their quest lands them – quite literally – in the Oval Office, where they are enlisted by President Nixon himself to assist enigmatic former-FBI agent Canton, in saving a terrified little girl from a mysterious spaceman."
276,276,The Eaters of Light,"A hunt for the lost Ninth Roman Legion leads the Doctor, Bill and Nardole into the middle of an ancient battle that could cast humanity into the dark forever. What is inside the cairn? And how far will they have to go defeat the terrifying alien Eaters of Light?"
139,139,The Two Doctors,"When the Doctor (Colin Baker) lands on a space station in the Third Zone, he suspects he’s been there before and when he discovers his old assistant – Jamie – he’s certain. Accompanied by Jamie and his present assistant Peri, the Doctor follows himself (Patrick Troughton) to 20th Century Seville. There he discovers his old enemeies, the Sontarans, about to dissect him in a genetic operation. But just why are they operating on the Doctor? And how will their findings aid their enslavement of the universe? Deadly questions to which the Doctors must find answers in order to escape their own excruciating death…"
129,129,Warriors of the Deep,"The Doctor, Tegan and Turlough arrive at an underwater Sea Base on Earth, where a scientific and military team led by Commander Vorshak are monitoring a rival power bloc. The team undergo regular missile launch test sequences to ensure that they are ready at all times to combat an attack. Three Silurians led by Icthar – the surviving member of a Silurian triad – revive a colony of Sea Devil Warriors in order to invade the base and use its weapons to attack the opposing power bloc, thus provoking a global war that will allow the reptiles to conquer the Earth…"
285,285,Kerblam!,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy’s largest retailer, Kerblam."
